year;var_classWorker;classWorker_employer;classWorker_employee;classWorker_selfEmpl;classWorker_unpaid
1973;v1520;3;1, 2;4;5
1976;v2307;6, 7;1, 4;2, 3, 5;8, 9
1977;v0069;4, 7;1, 2;3, 5, 6;8
1978;v2413;3;1;2;4
1979;v2306;3;1;2;4
1981;v0505;7, 8;1, 2, 3, 4;5, 6;0
1982;v0505;7, 8;1, 2, 3, 4;5, 6;0
1983;v0505;7, 8;1, 2, 3, 4;5, 6;0
1984;v0505;7, 8;1, 2, 3, 4;5, 6;0
1985;v0505;7, 8;1, 2, 3, 4;5, 6;0
1986;v0505;7, 8;1, 2, 3, 4;5, 6;0
1987;v0505;7, 8;1, 2, 3, 4;5, 6;0
1988;v0505;7, 8;1, 2, 3, 4;5, 6;0
1989;v0505;7, 8;1, 2, 3, 4;5, 6;0
1990;v0505;7, 8;1, 2, 3, 4;5, 6;0
1992;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
1993;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
1995;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
1996;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
1997;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
1998;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
1999;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2001;v4756;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2002;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2003;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2004;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2005;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2006;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2007;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2008;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2009;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2011;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2012;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2013;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2014;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
2015;v4706;10;1, 2, 3, 4, 5, 6, 7, 8;9;11, 12, 13
