year;var_econActivity;econActivity_active;econActivity_inactive
1973;v1512;1, 2, 3;4, 5, 6, 7
1976;v2301;1, 2, 3, 4;5, 6, 7, 8, 9, 0
1977;v0066;1, 2, 3, 4;5, 6, 7, 8, 9, 10, 11, 12
1978;v2408;1, 2, 3, 4;5, 6, 7, 8, 9, 10, 11, 12, 13
1979;v2301;1, 2, 3, 4;5, 6, 7, 8, 9, 10, 11, 12, 13
1981;v0501;1, 2, 3;4, 5, 6, 7, 9
1982;v0501;1, 2, 3;4, 5, 6, 7, 9
1983;v0501;1, 2, 3;4, 5, 6, 7, 9
1984;v0501;1, 2, 3;4, 5, 6, 7, 9
1985;v0501;1, 2, 3;4, 5, 6, 7, 9
1986;v0501;1, 2, 3;4, 5, 6, 7, 9
1987;v0501;1, 2, 3;4, 5, 6, 7, 9
1988;v0501;1, 2, 3;4, 5, 6, 7, 9
1989;v0501;1, 2, 3;4, 5, 6, 7, 9
1990;v0501;1, 2, 3;4, 5, 6, 7, 9
1992;v4704;1;2
1993;v4704;1;2
1995;v4704;1;2
1996;v4704;1;2
1997;v4704;1;2
1998;v4704;1;2
1999;v4704;1;2
2001;v4754;1;2
2002;v4704;1;2
2003;v4704;1;2
2004;v4704;1;2
2005;v4704;1;2
2006;v4704;1;2
2007;v4704;1;2
2008;v4704;1;2
2009;v4704;1;2
2011;v4704;1;2
2012;v4704;1;2
2013;v4704;1;2
2014;v4704;1;2
2015;v4704;1;2
