year;var_gender;gender_male;gender_female
1973;v0155;1;2
1976;v2103;1;2
1977;v0016;1;2
1978;v2203;1;2
1979;v2203;1;2
1981;v0303;1;3
1982;v0303;1;3
1983;v0303;1;3
1984;v0303;1;3
1985;v0303;1;3
1986;v0303;1;3
1987;v0303;1;3
1988;v0303;1;3
1989;v0303;1;3
1990;v0303;1;3
1992;v0302;2;4
1993;v0302;2;4
1995;v0302;2;4
1996;v0302;2;4
1997;v0302;2;4
1998;v0302;2;4
1999;v0302;2;4
2001;v0302;2;4
2002;v0302;2;4
2003;v0302;2;4
2004;v0302;2;4
2005;v0302;2;4
2006;v0302;2;4
2007;v0302;2;4
2008;v0302;2;4
2009;v0302;2;4
2011;v0302;2;4
2012;v0302;2;4
2013;v0302;2;4
2014;v0302;2;4
2015;v0302;2;4
