year;var_hoursWorkedMainJob;var_hoursWorkedSecondJob;var_hoursWorkedThirdJob;var_hoursWorkedAllJobs
1973;;;;
1976;v2310;;;v2311
1977;v0098;;;v0099
1978;v2416;;;v2419
1979;v2312;;;v2314
1981;v0508;;;v5100
1982;v0508;;;v5100
1983;v0508;;;v5100
1984;v0508;;;v5100
1985;v0508;;;v5100
1986;v0508;;;v5100
1987;v0508;;;v5100
1988;v0508;;;v5100
1989;v0508;;;v5100
1990;v0508;;;v5100
1992;v9058;v9101;v9105;
1993;v9058;v9101;v9105;
1995;v9058;v9101;v9105;
1996;v9058;v9101;v9105;
1997;v9058;v9101;v9105;
1998;v9058;v9101;v9105;
1999;v9058;v9101;v9105;
2001;v9058;v9101;v9105;
2002;v9058;v9101;v9105;
2003;v9058;v9101;v9105;
2004;v9058;v9101;v9105;
2005;v9058;v9101;v9105;
2006;v9058;v9101;v9105;
2007;v9058;v9101;v9105;
2008;v9058;v9101;v9105;
2009;v9058;v9101;v9105;
2011;v9058;v9101;v9105;
2012;v9058;v9101;v9105;
2013;v9058;v9101;v9105;
2014;v9058;v9101;v9105;
2015;v9058;v9101;v9105;
