year;var_grau;value_grau;var_serie;value_serie;var_condition;value_condition;finalvalue;finalvalue_label
1976;v2225;1;v2224;1:4;;;1;Fundamental 1
1976;v2225;1;v2224;5:8;;;2;Fundamental 2
1976;v2225;2;;;;;3;Médio
1976;v2225;3;;;;;2;Fundamental 2
1976;v2225;4;;;;;3;Médio
1976;v2225;5;;;;;4;Superior
1976;v2225;6:9;;;;;9;Outro
1977;v0036;1;v0035;1:4;;;1;Fundamental 1
1977;v0036;1;v0035;5:8;;;2;Fundamental 2
1977;v0036;2;;;;;3;Médio
1977;v0036;3;;;;;2;Fundamental 2
1977;v0036;4;;;;;3;Médio
1977;v0036;5;;;;;4;Superior
1977;v0036;6:9;;;;;9;Outro
1978;v2214;1;v2213;1:4;;;1;Fundamental 1
1978;v2214;1;v2213;5:8;;;2;Fundamental 2
1978;v2214;2;;;;;3;Médio
1978;v2214;3;;;;;2;Fundamental 2
1978;v2214;4;;;;;3;Médio
1978;v2214;5;;;;;4;Superior
1978;v2214;6:9;;;;;9;Outro
;;;;;;;;
1979;v2214;1;;;;;1;Fundamental 1
1979;v2214;2;;;;;2;Fundamental 2
1979;v2214;3;;;;;3;Médio
1979;v2214;4;v2213;1:4;;;1;Fundamental 1
1979;v2214;4;v2213;5:8;;;2;Fundamental 2
1979;v2214;5;;;;;3;Médio
1979;v2214;6;;;;;4;Superior
1979;v2214;7:14;;;;;9;Outro
1979;v2214;15;;;;;4;Superior
1979;v2214;99;;;;;9;Outro
1981:1990;v0314;1;;;;;1;Fundamental 1
1981:1990;v0314;2;;;;;2;Fundamental 2
1981:1990;v0314;3;;;;;3;Médio
1981:1990;v0314;4;v0312;1:4;;;1;Fundamental 1
1981:1990;v0314;4;v0312;5:8;;;2;Fundamental 2
1981:1990;v0314;5;;;;;3;Médio
1981:1990;v0314;6;;;;;4;Superior
1981:1990;v0314;7:14;;;;;9;Outro
1981:1990;v0314;15;;;;;4;Superior
1981:1990;v0314;99;;;;;9;Outro
1992:2006;v0603;1;v0605;1:4;;;1;Fundamental 1
1992:2006;v0603;1;v0605;5:8;;;2;Fundamental 2
1992:2006;v0603;2;;;;;3;Médio
1992:2006;v0603;3;;;;;9;Outro
1992:2006;v0603;4;;;;;9;Outro
1992:2006;v0603;5;;;;;4;Superior
1992:2006;v0603;6:8;;;;;9;Outro
1992:2006;v0603;9;;;;;4;Superior
2007:2015;v6003;1;v0605;1:4;v6030;1;1;Fundamental 1
2007:2015;v6003;1;v0605;5:8;v6030;1;2;Fundamental 2
2007:2015;v6003;1;v0605;1:5;v6030;3;1;Fundamental 1
2007:2015;v6003;1;v0605;6:8,0;v6030;3;2;Fundamental 2
2007:2015;v6003;2;;;;;3;Médio
2007:2015;v6003;3;;;;;9;Outro
2007:2015;v6003;4;;;;;9;Outro
2007:2015;v6003;5;;;;;4;Superior
2007:2015;v6003;6:10;;;;;9;Outro
2007:2015;v6003;11;;;;;4;Superior
