ano;ocup;cond_presenca;nao_morador;pos_dom;parente_threshold;domicilioid
1973;;;;;;
1976;v2304;v2104;3;v2107;5;domicilioid
1977;v0067;v0017;3;v0018;13;domicilioid
1978;v2411;v2204;3;v2205;13;domicilioid
1979;v2304;v2204;3;v2205;8;domicilioid
1981;v0503;;;v0305;4;domicilioid
1982;v0503;;;v0305;4;domicilioid
1983;v0503;;;v0305;4;domicilioid
1984;v0503;;;v0305;4;domicilioid
1985;v0503;;;v0305;4;domicilioid
1986;v0503;;;v0305;4;domicilioid
1987;v0503;;;v0305;4;domicilioid
1988;v0503;;;v0305;4;domicilioid
1989;v0503;;;v0305;4;domicilioid
1990;v0503;;;v0305;4;domicilioid
1992;v9906;;;v0401;4;domicilioid
1993;v9906;;;v0401;4;domicilioid
1995;v9906;;;v0401;4;domicilioid
1996;v9906;;;v0401;4;domicilioid
1997;v9906;;;v0401;4;domicilioid
1998;v9906;;;v0401;4;domicilioid
1999;v9906;;;v0401;4;domicilioid
2001;v9906;;;v0401;4;domicilioid
2002;v9906;;;v0401;4;domicilioid
2003;v9906;;;v0401;4;domicilioid
2004;v9906;;;v0401;4;domicilioid
2005;v9906;;;v0401;4;domicilioid
2006;v9906;;;v0401;4;domicilioid
2007;v9906;;;v0401;4;domicilioid
2008;v9906;;;v0401;4;domicilioid
2009;v9906;;;v0401;4;domicilioid
2011;v9906;;;v0401;4;domicilioid
2012;v9906;;;v0401;4;domicilioid
2013;v9906;;;v0401;4;domicilioid
2014;v9906;;;v0401;4;domicilioid
2015;v9906;;;v0401;4;domicilioid
